Name;Hm0 deep;Tp deep;Tm deep;Tm-1,0 deep;h deep;m;b;h;Hm0 toe;Tp toe;Tm toe;Tm-1,0 toe;ht;Bt;gf;cotad;cotau;cotaexcl;cotaincl;Rc;B;hb;tanaB;Bh;Ac;Gc;RF;CF;q
;m;s;s;s;m;;°;m;m;s;s;s;m;m;;;;;;m;m;m;;m;m;m;;;m3/s/m
001-001;0.108;1.591;1.326;1.447;0.184;43;0;0.033;0.024;1.591;1.326;1.447;0.033;0;1;0;0;0;0;0.077;0;0;0;0;0.061;0.432;4;3;1.11E-04
001-003;0.126;2.087;1.739;1.897;0.211;43;0;0.06;0.045;2.087;1.739;1.897;0.06;0;1;0;0;0;0;0.05;0;0;0;0;0.034;0.432;4;3;5.94E-04
001-005;0.138;2.165;1.804;1.968;0.236;43;0;0.085;0.063;2.165;1.804;1.968;0.085;0;1;0;0;0;0;0.025;0;0;0;0;0.009;0.432;3;3;2.06E-03
001-006;0.138;2.165;1.804;1.968;0.236;25;0;0.023;0.042;2.165;1.804;1.968;0.023;0;1;0;0;0;0;0.025;0;0;0;0;0.009;0.432;4;3;2.08E-03
001-007;0.108;1.591;1.326;1.447;0.184;43;0;0.033;0.024;1.591;1.326;1.447;0.033;0;1;0;0;0;0;0.152;0;0;0;0;0.083;0.432;4;3;3.13E-07
001-009;0.126;2.087;1.739;1.897;0.211;43;0;0.06;0.045;2.087;1.739;1.897;0.06;0;1;0;0;0;0;0.125;0;0;0;0;0.056;0.432;4;3;2.81E-05
001-011;0.138;2.165;1.804;1.968;0.236;43;0;0.085;0.063;2.165;1.804;1.968;0.085;0;1;0;0;0;0;0.1;0;0;0;0;0.031;0.432;3;3;1.88E-04
001-012;0.138;2.165;1.804;1.968;0.236;25;0;0.023;0.042;2.165;1.804;1.968;0.023;0;1;0;0;0;0;0.1;0;0;0;0;0.031;0.432;4;3;9.69E-05
001-013;0.108;1.591;1.326;1.447;0.184;43;0;0.033;0.024;1.591;1.326;1.447;0.033;0;1;0;0;0;0;0.077;0;0;0;0;0.136;0.432;4;3;7.81E-07
001-015;0.126;2.087;1.739;1.897;0.211;43;0;0.06;0.045;2.087;1.739;1.897;0.06;0;1;0;0;0;0;0.05;0;0;0;0;0.109;0.432;4;3;6.09E-05
001-017;0.138;2.165;1.804;1.968;0.236;43;0;0.085;0.063;2.165;1.804;1.968;0.085;0;1;0;0;0;0;0.025;0;0;0;0;0.084;0.432;3;3;4.06E-04
001-018;0.138;2.165;1.804;1.968;0.236;25;0;0.023;0.042;2.165;1.804;1.968;0.023;0;1;0;0;0;0;0.025;0;0;0;0;0.084;0.432;4;3;2.81E-04
001-021;0.138;2.165;1.804;1.968;0.236;25;0;0.023;0.042;2.165;1.804;1.968;0.023;0;1;0;0;0;0;0.1;0;0;0;0;0.031;0.432;4;3;1.31E-04
001-022;0.126;2.087;1.739;1.897;0.211;43;0;0.06;0.045;2.087;1.739;1.897;0.06;0;1;0;0;0;0;0.125;0;0;0;0;0.056;1.376;4;3;1.25E-06
001-024;0.138;2.165;1.804;1.968;0.236;25;0;0.023;0.042;2.165;1.804;1.968;0.023;0;1;0;0;0;0;0.1;0;0;0;0;0.031;1.376;4;3;2.03E-05
002-002;0.152;1.666;1.388;1.514;0.8;66;0;0.326;0.152;1.666;1.388;1.514;0.218;0.185;0.55;1.33;1.33;1.33;1.33;0.274;0;0;0;0;0.215;0.077;2;2;2.04E-04
002-003;0.187;2.105;1.754;1.914;0.8;66;0;0.326;0.187;2.105;1.754;1.914;0.218;0.185;0.55;1.33;1.33;1.33;1.33;0.274;0;0;0;0;0.215;0.077;2;2;7.18E-04
002-005;0.152;1.666;1.388;1.514;0.8;66;0;0.326;0.152;1.666;1.388;1.514;0.218;0.185;0.55;1.5;1.5;1.5;1.5;0.305;0;0;0;0;0.225;0.277;2;2;1.84E-05
002-006;0.187;2.123;1.769;1.93;0.8;66;0;0.326;0.187;2.123;1.769;1.93;0.218;0.185;0.55;1.5;1.5;1.5;1.5;0.305;0;0;0;0;0.225;0.277;2;2;8.15E-05
002-007;0.152;1.666;1.388;1.514;0.8;66;0;0.326;0.152;1.666;1.388;1.514;0.218;0.185;0.55;1.5;1.5;1.5;1.5;0.335;0;0;0;0;0.225;0.277;2;2;8.10E-06
002-008;0.187;2.123;1.769;1.93;0.8;66;0;0.326;0.187;2.123;1.769;1.93;0.218;0.185;0.55;1.5;1.5;1.5;1.5;0.335;0;0;0;0;0.225;0.277;2;2;3.94E-05
002-009;0.152;1.666;1.388;1.514;0.8;66;0;0.326;0.152;1.666;1.388;1.514;0.218;0.185;0.55;1.5;1.5;1.5;1.5;0.305;0;0;0;0;0.225;0.323;2;2;8.10E-06
002-010;0.187;2.123;1.769;1.93;0.8;66;0;0.326;0.187;2.123;1.769;1.93;0.218;0.185;0.55;1.5;1.5;1.5;1.5;0.305;0;0;0;0;0.225;0.323;2;2;3.51E-05
003-001;0.101;1.404;1.17;1.277;0.368;1000;0;0.179;0.097;1.277;1.064;1.161;0.103;0.173;0.46;1.5;1.5;1.5;1.5;0.192;0;0;0;0;0.214;0.094;2;1;1.67E-07
003-002;0.116;1.468;1.224;1.335;0.368;1000;0;0.179;0.107;1.319;1.099;1.199;0.103;0.173;0.46;1.5;1.5;1.5;1.5;0.192;0;0;0;0;0.214;0.094;1;1;3.35E-07
003-003;0.142;1.532;1.277;1.393;0.401;1000;0;0.212;0.126;1.362;1.135;1.238;0.136;0.173;0.46;1.5;1.5;1.5;1.5;0.159;0;0;0;0;0.181;0.094;1;1;1.51E-05
003-004;0.16;1.575;1.312;1.432;0.409;1000;0;0.22;0.132;1.383;1.153;1.257;0.144;0.173;0.46;1.5;1.5;1.5;1.5;0.151;0;0;0;0;0.173;0.094;1;1;4.85E-05
003-005;0.142;1.532;1.277;1.393;0.401;1000;0;0.212;0.126;1.362;1.135;1.238;0.136;0.173;0.46;1.5;1.5;1.5;1.5;0.159;0;0;0;0;0.181;0.393;1;3;2.79E-07
003-006;0.16;1.575;1.312;1.432;0.409;1000;0;0.22;0.132;1.383;1.153;1.257;0.144;0.173;0.46;1.5;1.5;1.5;1.5;0.151;0;0;0;0;0.173;0.393;1;3;2.18E-06
003-007;0.101;1.404;1.17;1.277;0.368;1000;0;0.179;0.097;1.277;1.064;1.161;0.103;0.173;0.46;1.5;1.5;1.5;1.5;0.183;0;0;0;0;0.183;0.393;2;1;1.12E-07
003-008;0.116;1.468;1.224;1.335;0.368;1000;0;0.179;0.107;1.319;1.099;1.199;0.103;0.173;0.46;1.5;1.5;1.5;1.5;0.183;0;0;0;0;0.183;0.393;2;1;1.12E-07
003-009;0.142;1.532;1.277;1.393;0.401;1000;0;0.212;0.126;1.362;1.135;1.238;0.136;0.173;0.46;1.5;1.5;1.5;1.5;0.15;0;0;0;0;0.15;0.393;1;1;3.40E-06
003-010;0.16;1.575;1.312;1.432;0.409;1000;0;0.22;0.132;1.383;1.153;1.257;0.144;0.173;0.46;1.5;1.5;1.5;1.5;0.142;0;0;0;0;0.142;0.393;1;1;2.51E-05
003-011;0.101;1.404;1.17;1.277;0.368;1000;0;0.179;0.097;1.277;1.064;1.161;0.103;0.173;0.46;1.5;1.5;1.5;1.5;0.183;0;0;0;0;0.183;0.094;1;3;4.46E-07
003-012;0.116;1.468;1.224;1.335;0.368;1000;0;0.179;0.107;1.319;1.099;1.199;0.103;0.173;0.46;1.5;1.5;1.5;1.5;0.183;0;0;0;0;0.183;0.094;1;3;2.57E-06
003-013;0.142;1.532;1.277;1.393;0.401;1000;0;0.212;0.126;1.362;1.135;1.238;0.136;0.173;0.46;1.5;1.5;1.5;1.5;0.15;0;0;0;0;0.15;0.094;1;3;6.69E-05
003-014;0.16;1.575;1.312;1.432;0.409;1000;0;0.22;0.132;1.383;1.153;1.257;0.144;0.173;0.46;1.5;1.5;1.5;1.5;0.142;0;0;0;0;0.142;0.094;1;3;1.73E-04
003-033;0.132;1.477;1.231;1.343;0.542;44;0;0.197;0.102;1.252;1.043;1.138;0.127;0.161;0.46;1.5;1.5;1.5;1.5;0.148;0;0;0;0;0.169;0.365;2;1;3.50E-07
003-040;0.143;1.457;1.214;1.324;0.549;44;0;0.204;0.105;1.272;1.06;1.157;0.134;0.161;0.46;1.5;1.5;1.5;1.5;0.141;0;0;0;0;0.161;0.365;2;1;7.00E-07
003-041;0.143;1.457;1.214;1.324;0.549;51;30;0.204;0.102;1.272;1.06;1.157;0.134;0.161;0.46;1.5;1.5;1.5;1.5;0.141;0;0;0;0;0.161;0.365;3;1;1.95E-07
003-060;0.129;1.436;1.197;1.306;0.542;44;0;0.197;0.114;1.293;1.077;1.175;0.127;0.161;0.46;1.5;1.5;1.5;1.5;0.148;0;0;0;0;0.169;0.365;2;1;4.45E-08
003-061;0.129;1.436;1.197;1.306;0.542;44;0;0.197;0.111;1.313;1.094;1.194;0.127;0.161;0.46;1.5;1.5;1.5;1.5;0.148;0;0;0;0;0.169;0.365;2;1;5.50E-07
003-062;0.129;1.436;1.197;1.306;0.542;51;45;0.197;0.096;1.19;0.992;1.082;0.127;0.161;0.46;1.5;1.5;1.5;1.5;0.148;0;0;0;0;0.169;0.365;3;1;1.15E-08
003-065;0.143;1.457;1.214;1.324;0.549;;;0.204;0.096;1.416;1.18;1.287;0.134;0.161;0.46;1.5;1.5;1.5;1.5;0.141;0;0;0;0;0.161;0.365;4;1;3.25E-08
003-066;0.143;1.457;1.214;1.324;0.549;44;0;0.204;0.099;1.272;1.06;1.157;0.134;0.161;0.46;1.5;1.5;1.5;1.5;0.141;0;0;0;0;0.161;0.365;2;1;5.50E-08
003-067;0.143;1.457;1.214;1.324;0.549;44;0;0.204;0.123;1.313;1.094;1.194;0.134;0.161;0.46;1.5;1.5;1.5;1.5;0.141;0;0;0;0;0.161;0.365;2;1;1.15E-07
003-068;0.143;1.457;1.214;1.324;0.549;44;0;0.204;0.102;1.272;1.06;1.157;0.134;0.161;0.46;1.5;1.5;1.5;1.5;0.141;0;0;0;0;0.161;0.365;2;1;2.30E-06
003-069;0.143;1.457;1.214;1.324;0.549;51;45;0.204;0.102;1.231;1.026;1.119;0.134;0.161;0.46;1.5;1.5;1.5;1.5;0.141;0;0;0;0;0.161;0.365;3;1;4.40E-08
003-089;0.129;1.457;1.214;1.324;0.542;44;0;0.197;0.108;1.231;1.026;1.119;0.127;0.161;0.46;1.5;1.5;1.5;1.5;0.148;0;0;0;0;0.169;0.365;2;1;7.00E-07
003-090;0.129;1.457;1.214;1.324;0.542;45;45;0.197;0.094;1.252;1.043;1.138;0.127;0.161;0.46;1.5;1.5;1.5;1.5;0.148;0;0;0;0;0.169;0.365;3;1;2.50E-07
003-093;0.146;1.457;1.214;1.324;0.549;;;0.204;0.137;1.293;1.077;1.175;0.134;0.161;0.46;1.5;1.5;1.5;1.5;0.141;0;0;0;0;0.161;0.365;4;1;1.30E-08
003-094;0.146;1.457;1.214;1.324;0.549;44;0;0.204;0.117;1.272;1.06;1.157;0.134;0.161;0.46;1.5;1.5;1.5;1.5;0.141;0;0;0;0;0.161;0.365;2;1;3.45E-08
003-096;0.146;1.457;1.214;1.324;0.549;44;0;0.204;0.111;1.252;1.043;1.138;0.134;0.161;0.46;1.5;1.5;1.5;1.5;0.141;0;0;0;0;0.161;0.365;2;1;3.10E-06
003-097;0.146;1.457;1.214;1.324;0.549;45;45;0.204;0.105;1.293;1.077;1.175;0.134;0.161;0.46;1.5;1.5;1.5;1.5;0.141;0;0;0;0;0.161;0.365;3;1;1.65E-06
004-002;0.09;1.534;1.278;1.394;0.301;100;0;0.168;0.087;1.534;1.278;1.394;0.148;0;0.4;2.5;2.5;2.5;2.5;0.119;0;0;0;0;0.119;0.133;2;1;2.75E-06
004-003;0.11;1.994;1.661;1.812;0.35;100;0;0.217;0.123;1.994;1.661;1.812;0.197;0;0.4;2.5;2.5;2.5;2.5;0.07;0;0;0;0;0.07;0.133;2;1;1.07E-03
004-004;0.127;2.235;1.862;2.032;0.35;100;0;0.217;0.14;2.235;1.862;2.032;0.197;0;0.4;2.5;2.5;2.5;2.5;0.07;0;0;0;0;0.07;0.133;2;1;1.85E-03
004-005;0.09;1.534;1.278;1.394;0.301;50;0;0.081;0.083;1.534;1.278;1.394;0.048;0.033;0.4;2.5;2.5;2.5;2.5;0.096;0;0;0;0;0.105;0.133;3;1;5.10E-06
004-006;0.08;2.388;1.99;2.171;0.301;50;0;0.081;0.09;2.388;1.99;2.171;0.048;0.033;0.4;2.5;2.5;2.5;2.5;0.096;0;0;0;0;0.105;0.133;3;1;4.32E-05
004-007;0.11;1.994;1.661;1.812;0.35;50;0;0.13;0.127;1.994;1.661;1.812;0.097;0.033;0.4;2.5;2.5;2.5;2.5;0.047;0;0;0;0;0.056;0.133;2;1;1.25E-03
004-009;0.09;1.534;1.278;1.394;0.301;100;0;0.168;0.087;1.534;1.278;1.394;0.148;0;0.4;2.5;2.5;2.5;2.5;0.119;0;0;0;0;0.119;0.11;2;1;1.96E-06
004-010;0.11;1.994;1.661;1.812;0.35;100;0;0.217;0.123;1.994;1.661;1.812;0.197;0;0.4;2.5;2.5;2.5;2.5;0.07;0;0;0;0;0.07;0.11;2;1;6.69E-04
004-011;0.127;2.235;1.862;2.032;0.35;100;0;0.217;0.14;2.235;1.862;2.032;0.197;0;0.4;2.5;2.5;2.5;2.5;0.07;0;0;0;0;0.07;0.11;2;1;1.16E-03
005-001;0.16;2.088;1.74;1.898;0.624;100;0;0.224;0.128;2.208;1.84;2.007;0.224;0;0.7;1.91;0;1.27;1.58;0.108;0.08;0.02;0;0.08;0.108;0;1;3;1.92E-03
005-002;0.16;2.088;1.74;1.898;0.624;100;0;0.224;0.128;2.208;1.84;2.007;0.224;0;0.6;1.91;0;1.18;1.46;0.128;0.08;0.02;0;0.08;0.128;0;1;3;9.28E-04
005-003;0.16;2.088;1.74;1.898;0.624;100;0;0.224;0.128;2.208;1.84;2.007;0.224;0;0.6;1.91;0;1.11;1.37;0.148;0.08;0.02;0;0.08;0.148;0;1;3;3.28E-04
005-004;0.16;2.088;1.74;1.898;0.624;100;0;0.224;0.128;2.208;1.84;2.007;0.224;0;0.6;1.91;0;1.14;1.41;0.14;0.08;0.02;0;0.08;0.14;0;1;3;5.92E-04
005-005;0.16;2.088;1.74;1.898;0.624;100;0;0.224;0.128;2.208;1.84;2.007;0.224;0;0.7;1.91;0;1.14;1.14;0.14;0;0.02;0;0;0.14;0;1;3;8.00E-04
005-006;0.16;2.088;1.74;1.898;0.624;100;0;0.224;0.128;2.208;1.84;2.007;0.224;0;0.6;1.91;0;1.14;1.41;0.14;0.08;0.02;0;0.08;0.14;0;1;3;5.60E-04
005-007;0.16;2.088;1.74;1.898;0.624;100;0;0.224;0.128;2.208;1.84;2.007;0.224;0;0.6;1.91;0;1.14;1.41;0.14;0.08;0.02;0;0.08;0.14;0;1;3;6.00E-04
005-008;0.16;2.088;1.74;1.898;0.624;100;0;0.224;0.128;2.208;1.84;2.007;0.224;0;0.6;1.91;0;1.14;1.41;0.14;0.08;0.02;0;0.08;0.14;0;1;3;6.08E-04
006-001;;1.753;1.461;1.593;0.353;12;45;0.177;0.091;1.775;1.479;1.614;0.177;0;1;0.1;0.1;0.1;0.1;0.084;0;0;0;0;0.084;0;3;1;5.90E-05
006-002;;1.753;1.461;1.593;0.353;12;45;0.177;0.091;1.775;1.479;1.614;0.177;0;0.7;0.1;0.1;0.1;0.1;0.1;0;0;0;0;0.1;0;3;1;1.83E-05
006-003;;1.753;1.461;1.593;0.353;12;45;0.177;0.091;1.775;1.479;1.614;0.177;0;0.7;0.1;0.1;0.1;0.1;0.11;0;0;0;0;0.11;0;3;1;9.13E-06
006-004;;1.753;1.461;1.593;0.353;12;45;0.177;0.091;1.775;1.479;1.614;0.177;0;0.7;0.1;0.1;0.1;0.1;0.1;0;0;0;0;0.1;0;3;1;1.89E-05
006-005;;1.753;1.461;1.593;0.353;12;45;0.177;0.091;1.775;1.479;1.614;0.177;0;0.7;0.1;0.1;0.1;0.1;0.11;0;0;0;0;0.11;0;3;1;1.28E-05
006-006;;1.777;1.481;1.615;0.353;20;45;0.057;0.052;1.813;1.511;1.648;0.057;0;1;0.1;0.1;0.1;0.1;0.088;0;0;0;0;0.088;0;3;2;1.83E-04
006-007;;1.777;1.481;1.615;0.353;20;45;0.057;0.052;1.813;1.511;1.648;0.057;0;0.7;0.1;0.1;0.1;0.1;0.105;0;0;0;0;0.105;0;3;2;2.31E-05
006-008;;1.777;1.481;1.615;0.353;20;45;0.057;0.052;1.813;1.511;1.648;0.057;0;0.7;0.1;0.1;0.1;0.1;0.115;0;0;0;0;0.115;0;3;2;2.25E-05
006-009;;1.777;1.481;1.615;0.353;20;45;0.057;0.052;1.813;1.511;1.648;0.057;0;0.7;0.1;0.1;0.1;0.1;0.105;0;0;0;0;0.105;0;3;2;5.42E-05
006-010;;1.777;1.481;1.615;0.353;20;45;0.057;0.052;1.813;1.511;1.648;0.057;0;0.7;0.1;0.1;0.1;0.1;0.115;0;0;0;0;0.115;0;3;2;3.77E-05
006-016;;1.753;1.461;1.593;0.387;12;45;0.21;0.087;1.775;1.479;1.614;0.21;0;1;0.1;0.1;0.1;0.1;0.05;0;0;0;0;0.05;0;3;1;3.53E-04
006-017;;1.753;1.461;1.593;0.387;12;45;0.21;0.087;1.775;1.479;1.614;0.21;0;0.84;0.1;0.1;0.1;0.1;0.067;0;0;0;0;0.067;0;3;1;1.16E-04
006-018;;1.753;1.461;1.593;0.387;12;45;0.21;0.087;1.775;1.479;1.614;0.21;0;0.77;0.1;0.1;0.1;0.1;0.077;0;0;0;0;0.077;0;3;1;7.30E-05
006-019;;1.753;1.461;1.593;0.387;12;45;0.21;0.087;1.775;1.479;1.614;0.21;0;0.84;0.1;0.1;0.1;0.1;0.067;0;0;0;0;0.067;0;3;1;1.46E-04
006-020;;1.753;1.461;1.593;0.387;12;45;0.21;0.087;1.775;1.479;1.614;0.21;0;0.77;0.1;0.1;0.1;0.1;0.077;0;0;0;0;0.077;0;3;1;9.13E-05
006-021;;1.775;1.479;1.613;0.387;20;45;0.09;0.069;1.808;1.507;1.644;0.09;0;1;0.1;0.1;0.1;0.1;0.055;0;0;0;0;0.055;0;3;2;1.20E-03
006-022;;1.775;1.479;1.613;0.387;20;45;0.09;0.069;1.808;1.507;1.644;0.09;0;0.7;0.1;0.1;0.1;0.1;0.072;0;0;0;0;0.072;0;3;2;5.54E-04
006-023;;1.775;1.479;1.613;0.387;20;45;0.09;0.069;1.808;1.507;1.644;0.09;0;0.7;0.1;0.1;0.1;0.1;0.082;0;0;0;0;0.082;0;3;2;4.02E-04
006-024;;1.775;1.479;1.613;0.387;20;45;0.09;0.069;1.808;1.507;1.644;0.09;0;0.7;0.1;0.1;0.1;0.1;0.072;0;0;0;0;0.072;0;3;2;6.63E-04
006-025;;1.775;1.479;1.613;0.387;20;45;0.09;0.069;1.808;1.507;1.644;0.09;0;0.7;0.1;0.1;0.1;0.1;0.082;0;0;0;0;0.082;0;3;2;5.05E-04
006-026;;2.147;1.789;1.952;0.387;28;45;0.043;0.036;2.182;1.818;1.984;0.043;0;1;0.1;0.1;0.1;0.1;0.069;0;0;0;0;0.069;0;4;3;1.46E-04
006-027;;2.147;1.789;1.952;0.387;28;45;0.043;0.036;2.182;1.818;1.984;0.043;0;0.7;0.1;0.1;0.1;0.1;0.086;0;0;0;0;0.086;0;4;3;3.59E-05
006-028;;2.147;1.789;1.952;0.387;28;45;0.043;0.036;2.182;1.818;1.984;0.043;0;0.7;0.1;0.1;0.1;0.1;0.096;0;0;0;0;0.096;0;4;3;2.31E-05
006-029;;2.147;1.789;1.952;0.387;28;45;0.043;0.036;2.182;1.818;1.984;0.043;0;0.7;0.1;0.1;0.1;0.1;0.086;0;0;0;0;0.086;0;4;3;4.75E-05
006-030;;2.147;1.789;1.952;0.387;28;45;0.043;0.036;2.182;1.818;1.984;0.043;0;0.7;0.1;0.1;0.1;0.1;0.096;0;0;0;0;0.096;0;4;3;3.77E-05
006-031;;1.928;1.607;1.753;0.42;12;45;0.243;0.101;1.971;1.643;1.792;0.243;0;1;0.1;0.1;0.1;0.1;0.017;0;0;0;0;0.017;0;3;1;3.07E-03
006-032;;1.928;1.607;1.753;0.42;12;45;0.243;0.101;1.971;1.643;1.792;0.243;0;1;0.1;0.1;0.1;0.1;0.034;0;0;0;0;0.034;0;3;1;1.53E-03
006-033;;1.928;1.607;1.753;0.42;12;45;0.243;0.101;1.971;1.643;1.792;0.243;0;1;0.1;0.1;0.1;0.1;0.044;0;0;0;0;0.044;0;3;1;1.06E-03
006-034;;1.928;1.607;1.753;0.42;12;45;0.243;0.101;1.971;1.643;1.792;0.243;0;1;0.1;0.1;0.1;0.1;0.034;0;0;0;0;0.034;0;3;1;1.85E-03
006-035;;1.928;1.607;1.753;0.42;12;45;0.243;0.101;1.971;1.643;1.792;0.243;0;1;0.1;0.1;0.1;0.1;0.044;0;0;0;0;0.044;0;3;1;1.18E-03
006-036;;1.731;1.442;1.573;0.42;20;45;0.123;0.083;1.765;1.471;1.605;0.123;0;1;0.1;0.1;0.1;0.1;0.022;0;0;0;0;0.022;0;3;2;2.97E-03
006-037;;1.731;1.442;1.573;0.42;20;45;0.123;0.083;1.765;1.471;1.605;0.123;0;1;0.1;0.1;0.1;0.1;0.038;0;0;0;0;0.038;0;3;2;2.25E-03
006-038;;1.731;1.442;1.573;0.42;20;45;0.123;0.083;1.765;1.471;1.605;0.123;0;0.95;0.1;0.1;0.1;0.1;0.048;0;0;0;0;0.048;0;3;2;1.67E-03
006-039;;1.731;1.442;1.573;0.42;20;45;0.123;0.083;1.765;1.471;1.605;0.123;0;1;0.1;0.1;0.1;0.1;0.038;0;0;0;0;0.038;0;3;2;2.23E-03
006-040;;1.731;1.442;1.573;0.42;20;45;0.123;0.083;1.765;1.471;1.605;0.123;0;0.95;0.1;0.1;0.1;0.1;0.048;0;0;0;0;0.048;0;3;2;1.81E-03
006-041;;2.038;1.698;1.852;0.42;28;45;0.077;0.057;2.055;1.713;1.868;0.077;0;1;0.1;0.1;0.1;0.1;0.036;0;0;0;0;0.036;0;3;3;2.17E-03
006-042;;2.038;1.698;1.852;0.42;28;45;0.077;0.057;2.055;1.713;1.868;0.077;0;0.75;0.1;0.1;0.1;0.1;0.053;0;0;0;0;0.053;0;3;3;1.39E-03
006-043;;2.038;1.698;1.852;0.42;28;45;0.077;0.057;2.055;1.713;1.868;0.077;0;0.7;0.1;0.1;0.1;0.1;0.063;0;0;0;0;0.063;0;3;3;9.80E-04
006-044;;2.038;1.698;1.852;0.42;28;45;0.077;0.057;2.055;1.713;1.868;0.077;0;0.75;0.1;0.1;0.1;0.1;0.053;0;0;0;0;0.053;0;3;3;1.39E-03
006-045;;2.038;1.698;1.852;0.42;28;45;0.077;0.057;2.055;1.713;1.868;0.077;0;0.7;0.1;0.1;0.1;0.1;0.063;0;0;0;0;0.063;0;3;3;1.10E-03
006-046;;1.775;1.479;1.613;0.353;20;0;0.057;0.05;1.808;1.479;1.613;0.057;0;1;0.1;0.1;0.1;0.1;0.088;0;0;0;0;0.088;0;3;2;2.01E-04
006-047;;1.775;1.479;1.613;0.353;20;0;0.057;0.05;1.808;1.479;1.613;0.057;0;0.7;0.1;0.1;0.1;0.1;0.105;0;0;0;0;0.105;0;3;2;3.10E-05
006-048;;1.775;1.479;1.613;0.353;20;0;0.057;0.066;1.808;1.479;1.613;0.057;0;0.7;0.1;0.1;0.1;0.1;0.115;0;0;0;0;0.115;0;4;2;2.01E-05
006-049;;1.775;1.479;1.613;0.387;20;0;0.09;0.066;1.808;1.479;1.613;0.09;0;1;0.1;0.1;0.1;0.1;0.055;0;0;0;0;0.055;0;3;2;7.18E-04
006-050;;1.775;1.479;1.613;0.387;20;0;0.09;0.066;1.808;1.479;1.613;0.09;0;0.7;0.1;0.1;0.1;0.1;0.072;0;0;0;0;0.072;0;3;2;4.75E-04
006-051;;1.775;1.479;1.613;0.387;20;0;0.09;0.069;1.765;1.479;1.613;0.09;0;0.7;0.1;0.1;0.1;0.1;0.082;0;0;0;0;0.082;0;3;2;2.98E-04
006-052;;1.731;1.442;1.573;0.42;20;0;0.123;0.069;1.765;1.442;1.573;0.123;0;1;0.1;0.1;0.1;0.1;0.022;0;0;0;0;0.022;0;3;2;1.97E-03
006-053;;1.731;1.442;1.573;0.42;20;0;0.123;0.069;1.765;1.442;1.573;0.123;0;0.97;0.1;0.1;0.1;0.1;0.038;0;0;0;0;0.038;0;3;2;1.58E-03
006-054;;1.731;1.442;1.573;0.42;20;0;0.123;0.068;1.765;1.442;1.573;0.123;0;0.87;0.1;0.1;0.1;0.1;0.048;0;0;0;0;0.048;0;3;2;1.25E-03
007-001;0.066;1.181;0.984;1.073;0.457;10;0;0.107;0.059;1.003;0.836;0.912;0.107;0;0.4;3;3;3;3;0.119;0;0;0;0;0.094;0.091;2;1;3.13E-07
007-003;0.055;1.073;0.894;0.976;0.487;10;0;0.137;0.051;0.957;0.797;0.87;0.137;0;0.4;3;3;3;3;0.089;0;0;0;0;0.064;0.091;1;1;2.91E-07
007-004;0.086;1.368;1.14;1.244;0.467;15;0;0.142;0.076;1.213;1.011;1.103;0.142;0;0.4;3;3;3;3;0.109;0;0;0;0;0.084;0.091;2;1;2.01E-06
007-006;0.066;1.181;0.984;1.073;0.457;13;0;0.122;0.059;1.003;0.836;0.912;0.122;0;0.4;3;3;3;3;0.094;0;0;0;0;0.069;0.091;2;1;1.90E-06
007-007;0.086;1.368;1.14;1.244;0.467;13;0;0.132;0.075;1.213;1.011;1.103;0.132;0;0.4;3;3;3;3;0.084;0;0;0;0;0.059;0.091;2;1;4.58E-05
007-008;0.095;1.422;1.185;1.293;0.467;13;0;0.132;0.088;1.237;1.031;1.124;0.132;0;0.4;3;3;3;3;0.084;0;0;0;0;0.059;0.091;2;1;9.28E-05
007-009;0.066;1.181;0.984;1.073;0.457;8;0;0.317;0.065;1.003;0.836;0.912;0.237;0.154;0.4;1.5;1.5;1.5;1.5;0.119;0;0;0;0;0.094;0.115;4;1;5.03E-06
007-010;0.048;1.02;0.85;0.927;0.477;8;0;0.337;0.048;0.887;0.739;0.806;0.257;0.154;0.4;1.5;1.5;1.5;1.5;0.099;0;0;0;0;0.074;0.115;1;1;4.47E-07
007-011;0.056;1.1;0.917;1;0.487;8;0;0.347;0.055;0.933;0.778;0.848;0.267;0.154;0.4;1.5;1.5;1.5;1.5;0.089;0;0;0;0;0.064;0.115;1;1;2.91E-06
007-012;0.082;1.315;1.096;1.195;0.467;8;0;0.327;0.084;1.143;0.953;1.039;0.247;0.154;0.4;1.5;1.5;1.5;1.5;0.109;0;0;0;0;0.084;0.115;1;1;4.58E-05
007-013;0.075;1.261;1.051;1.146;0.382;8;0;0.242;0.058;0.957;0.797;0.87;0.162;0.154;0.4;1.5;1.5;1.5;1.5;0.194;0;0;0;0;0.169;0.115;4;1;4.47E-07
007-014;0.066;1.181;0.984;1.073;0.457;9;0;0.332;0.065;1.003;0.836;0.912;0.157;0.155;0.4;1.5;1.5;1.5;1.5;0.119;0;0;0;0;0.094;0.115;4;1;1.45E-06
007-015;0.048;1.02;0.85;0.927;0.477;9;0;0.352;0.048;0.887;0.739;0.806;0.177;0.155;0.4;1.5;1.5;1.5;1.5;0.099;0;0;0;0;0.074;0.115;1;1;1.12E-07
007-016;0.056;1.1;0.917;1;0.487;9;0;0.362;0.055;0.933;0.778;0.848;0.187;0.155;0.4;1.5;1.5;1.5;1.5;0.089;0;0;0;0;0.064;0.115;1;1;7.83E-07
